닉네임,1차퀴즈,2차퀴즈,중간고사,총점
설기,100,100,100,400
silverwest,100,100,99,398
daspicious,100,100,99,398
흑캉모,100,100,93,386
스위트퐁,100,100,93,386
one_1,98,95,96,385
열동생,100,100,89,378
죠지성님,95,80,100,375
Sean,100,95,89,373
갬자,100,100,82,364
락앤룽,84,100,88,360
suisider,85,100,87,359
송,90,100,84,358
이산수학고수,100,80,88,356
20221612,100,100,78,356
hiyu,100,85,84,353
다나,80,100,86,352
AND,83,100,84,351
bystander9,90,100,80,350
bytnwgyn,100,100,75,350
민호,88,100,77,342
hyeinx,90,100,75,340
Y.H.W.,100,100,69,338
poir,75,100,80,335
집으로,87,100,74,335
밍,80,90,82,334
Adremaline,95,80,79,333
JayJeom,90,100,69,328
Silvertree,80,100,74,328
youll,60,100,83,326
H,70,100,78,326
Altair,100,80,73,326
이산중간254,80,100,73,326
봄이오,80,95,75,325
JW2222,100,100,62,324
배고프다,87,90,73,323
tk935,88,85,74,321
발칸포,95,100,63,321
Yr,54,100,79,312
덕배,74,100,69,312
20235182,94,80,68,310
KYH,85,85,70,310
299,77,75,79,310
헤이즐럿샷추가,50,95,82,309
한림대장,63,80,83,309
비둘기비둘기,100,55,76,307
YJSNPI,95,45,83,306
소프트,60,90,78,306
20223226,74,90,70,304
알파카,68,77,79,303
YY,75,100,64,303
20226704,80,85,69,303
bbyung,64,100,69,302
ABR,100,35,83,301
지렁,75,100,62,299
KWJ,50,95,77,299
HDSO,70,100,64,298
pascal,90,70,69,298
하나마루,75,83,69,296
이산구조론 폼 미쳤다,74,90,66,296
방긋방긋,90,89,58,295
thisisjin,80,60,77,294
Yu,71,80,71,293
찬규,100,63,65,293
뇽안,70,90,66,292
뿡,92,80,59,290
롯데리아 케챱도둑,75,55,80,290
도라에몽,74,100,58,290
우산,53,85,74,286
20235113,80,80,63,286
굼굼,90,79,58,285
버들둥,79,40,83,285
cwb,45,90,74,283
볼펜,65,90,63,281
큐큐큨,52,100,64,280
아인슈타인,60,100,58,276
Jun,62,85,64,275
smk0123,94,25,78,275
구스범스,20,92,79,270
baeseung,70,35,82,269
DY,80,80,54,268
콩떡이,70,70,64,268
지브리짱구,95,60,56,267
svinsaas,74,56,68,266
Log,40,47,89,265
Mg,20,95,75,265
캉키부츠,58,100,52,262
20235186,80,95,43,261
산성비,70,55,68,261
말하는 감자,75,80,52,259
bcy0826,57,70,66,259
matilda,77,70,56,259
호박,54,35,83,255
Kevin,66,55,65,251
AGJ,70,50,65,250
ㅋㅋ,60,80,54,248
Apple,50,90,52,244
ILS,47,80,58,243
chmm,45,55,71,242
뚱가뿡가,55,85,51,242
12345678,58,60,62,242
1113,70,35,68,241
쪼미넴,35,100,53,241
lilac,44,90,52,238
20226104,75,0,80,235
암어킹,59,52,60,231
잠자고싶은 사람,60,35,68,231
jollinyee,40,70,60,230
ch,10,100,59,228
GBU,9,94,61,225
RAY,64,30,65,224
bingo787,50,50,61,222
우마,13,77,66,222
daniel,54,57,55,221
gbw,65,30,63,221
9599,45,50,62,219
Ahri,56,25,65,211
치즈피자디핑소스,30,100,39,208
EL,50,60,49,208
Kenny,58,30,59,206
친칠라,30,30,71,202
20235253,65,80,27,199
chorong,71,5,61,198
bella,40,40,59,198
Kopiko,35,20,69,193
P2050,24,55,57,193
Elizavete,55,20,59,193
Burger,50,60,41,192
KaKao01,25,60,51,187
Joonhy,14,37.5,67,185.5
양호,34,52,49,184
김유섭교수님 사랑해요,0,20,80,180
정대만,60,15,51,177
두리 주인이다잉,0,55,60,175
호두를 위하여,7,20,72,171
MS,20,65,41,167
스이기,40,44,41,166
토박이,0,80,42,164
rl1214,80,5,38,161
응애,50,10,50,160
ennos,0,20,67,154
20235101,7,44,51,153
HNL,0,30,59,148
단동,55,20,32,139
강타쓰는 탈표,30,15,45,135
익명이,0,40,47,134
20222956,47,13,37,134
Ret3rd,15,20,48,131
TTMM,40,0,41,122
20235257,20,15,40,115
퍼쁠,0,0,57,114
필통,40,0,37,114
데스크,0,25,44,113
JJM,20,0,45,110
YeahAA,0,30,36,102
김익명,0,0,43,86
딸기맛 미역,0,0,34,68
20235191,0,0,31,62
20226729,40,0,0,40
버거킹카운터,0,0,12,24
20235264,0,0,0,0
20222132,0,0,0,0
20235176,0,0,0,0
20235110,0,0,0,0
